longitude,latitude,location,photo_id,county,year,description,url,preview
-76.121846,42.616535,approximate,AJ-2-3,Cortland,1936,Centered near Loring Crossing in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/dd79853f-fc88-4d93-812e-d3c955ad0d36.jpg,http://stor.artstor.org/stor/dd79853f-fc88-4d93-812e-d3c955ad0d36_size2
-76.061013,42.569347,approximate,AJ-22-23,Cortland,1936,Centered near Maybury Mills in Mc Graw (13101) in Cortland County New York.,http://stor.artstor.org/stor/09529a06-3ef4-4501-9579-98375de630fa.jpg,http://stor.artstor.org/stor/09529a06-3ef4-4501-9579-98375de630fa_size2
-76.122098,42.490856,approximate,AJ-24-28,Cortland,1936,Centered near East Virgil in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/7624fd15-4b46-4129-bb8d-8bcdb4498ae8.jpg,http://stor.artstor.org/stor/7624fd15-4b46-4129-bb8d-8bcdb4498ae8_size2
-76.121269,42.453925,approximate,AJ-24-24,Cortland,1936,Centered near Lapeer in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/3342dfde-ec2c-4321-803e-7b55de826c8c.jpg,http://stor.artstor.org/stor/3342dfde-ec2c-4321-803e-7b55de826c8c_size2
-76.127173,42.440601,approximate,AJ-24-23,Cortland,1936,Centered near Lapeer in Marathon (13803) in Cortland County New York.,http://stor.artstor.org/stor/fef8da1c-9aea-4f42-89f6-aeb6fb4b261e.jpg,http://stor.artstor.org/stor/fef8da1c-9aea-4f42-89f6-aeb6fb4b261e_size2
-75.902998,42.52341,approximate,AJ-25-43,Cortland,1936,Centered near Lower Cincinnatus in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/b6ec0b3c-1b04-4d79-a3b5-b4d59e768c17.jpg,http://stor.artstor.org/stor/b6ec0b3c-1b04-4d79-a3b5-b4d59e768c17_size2
-75.901714,42.410244,approximate,AJ-25-55,Cortland,1936,Centered near Penelope in Whitney Point (13862) in Broome County New York.,http://stor.artstor.org/stor/4aac680f-03d9-47c6-bd07-e03cf753013c.jpg,http://stor.artstor.org/stor/4aac680f-03d9-47c6-bd07-e03cf753013c_size2
-76.091633,42.628342,approximate,AJ-2-56,Cortland,1936,Centered near East River in Mc Graw (13101) in Cortland County New York.,http://stor.artstor.org/stor/08fd739a-ad0b-4ffa-8ae3-7558980ca1b7.jpg,http://stor.artstor.org/stor/08fd739a-ad0b-4ffa-8ae3-7558980ca1b7_size2
-75.905103,42.504853,approximate,AJ-25-45,Cortland,1936,Centered near Gee Brook in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/53fc1409-2ed9-403a-acc5-a4eb4d4079ce.jpg,http://stor.artstor.org/stor/53fc1409-2ed9-403a-acc5-a4eb4d4079ce_size2
-75.904812,42.484685,approximate,AJ-25-47,Cortland,1936,Centered near Willet in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/6b999e05-266c-45f4-990c-7f158b2cf971.jpg,http://stor.artstor.org/stor/6b999e05-266c-45f4-990c-7f158b2cf971_size2
